scenario,instance,objective,configuration,retail_y_coefficient,retail_v_coefficient,rolled_leftover_coefficient,period,period_number,new_coils_used_count,new_coils_weight,new_coils_value,new_strip_produced_weight,new_strip_produced_value,new_strip_retail_weight,new_strip_retail_value,new_strip_scrap_weight,new_strip_scrap_value,new_strip_loss_weight,new_strip_loss_value,new_lateral_leftover_weight,new_lateral_leftover_value,new_lateral_retail_weight,new_lateral_retail_value,new_lateral_scrap_weight,new_lateral_scrap_value,new_edge_trim_weight,new_edge_trim_value,new_rolled_leftover_weight,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_coils_value,processed_strip_produced_weight,processed_strip_produced_value,processed_scrap_weight,processed_scrap_value,total_strip_produced_weight,total_strip_produced_value,retails_generated_count,retails_generated_weight,retails_generated_value,retails_file_exists,reusable_generated_weight,reusable_generated_value,total_scrap_weight,total_scrap_value,total_loss_weight,total_loss_value,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
WL-y2-v2-r2,bf_qcv_045,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2,2,2,period_2,2,35,279759.03,1444637.07,273716.57,1413224.46,119.06,573.84,8.18,39.64,121.74,624.88,2959.21,15470.49,0.0,0.0,2959.21,15470.49,2834.29,14703.87,0.0,0.0,0,3,3,63.57,315.68,53.92,265.8,9.65,49.87,273770.49,1413490.27,1,119.06,573.84,True,119.06,573.84,5933.07,30888.75,5933.07,30888.75,97.84,0.04,2.12,84.82,15.18,0.02
WL-y2-v2-r2,bf_qcv_045,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2,2,2,period_3,3,44,347695.85,1801994.97,340315.72,1763474.74,30.84,163.31,0.97,4.92,150.76,776.7,3618.94,18948.72,0.0,0.0,3618.94,18948.72,3578.68,18626.91,0.0,0.0,0,1,1,119.06,573.84,116.52,561.59,2.54,12.24,340432.24,1764036.34,2,30.84,163.31,True,30.84,163.31,7351.89,38369.49,7351.89,38369.49,97.88,0.01,2.11,97.87,2.13,0.03
WL-y2-v2-r2,bf_qcv_045,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2,2,2,period_4,4,30,236083.53,1225253.81,230636.42,1196806.9,117.34,583.89,0.1,0.48,103.03,531.74,2810.0,14739.79,0.0,0.0,2810.0,14739.79,2416.7,12591.34,0.0,0.0,0,2,2,30.84,163.31,27.55,145.88,3.29,17.42,230663.97,1196952.78,4,117.34,583.89,True,117.34,583.89,5333.12,27880.77,5333.12,27880.77,97.69,0.05,2.26,89.33,10.67,0.01
WL-y2-v2-r2,bf_qcv_045,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2,2,2,period_5,5,50,375672.54,1941020.85,368254.65,1902474.66,124.86,612.49,1.17,5.92,173.42,890.68,3286.61,17145.67,0.0,0.0,3286.61,17145.67,3831.86,19891.62,0.0,0.0,0,4,4,117.34,583.89,109.98,546.12,7.36,37.78,368364.63,1903020.78,3,124.86,612.49,True,124.86,612.49,7300.42,37971.67,7300.42,37971.67,98.03,0.03,1.94,93.73,6.27,0.03
WL-y2-v2-r2,bf_sae1006_045,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2,2,2,period_1,1,49,395564.82,2012357.69,382001.46,1943433.54,1593.77,8124.12,11.11,55.09,171.58,871.51,7971.16,40433.21,0.0,0.0,7971.16,40433.21,3815.76,19440.31,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,382001.46,1943433.54,4,1593.77,8124.12,True,1593.77,8124.12,11969.61,60800.12,11969.61,60800.12,96.57,0.4,3.03,0.0,0.0,0.0
WL-y2-v2-r2,bf_sae1006_045,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2,2,2,period_2,2,51,399299.29,2040980.86,382783.46,1957312.53,1685.7,8345.69,2.06,10.4,171.76,876.18,10685.49,54109.73,3270.14,16178.85,7415.35,37930.88,3970.77,20326.06,0.0,0.0,0,4,4,1593.77,8124.12,1533.25,7816.97,60.52,307.15,384316.71,1965129.49,7,4955.84,24524.54,True,4955.84,24524.54,11620.46,59450.67,11620.46,59450.67,95.86,1.24,2.9,96.2,3.8,0.4
WL-y2-v2-r2,bf_sae1006_045,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2,2,2,period_3,3,53,439875.15,2241138.61,424028.49,2160531.66,3543.16,17907.28,15.69,78.94,181.67,923.94,7823.65,39846.11,0.0,0.0,7823.65,39846.11,4282.39,21850.16,0.0,0.0,0,7,7,4955.84,24524.54,3699.58,18308.89,1256.26,6215.65,427728.07,2178840.55,5,3543.16,17907.28,True,3543.16,17907.28,13559.66,68914.8,13559.66,68914.8,96.4,0.81,2.8,74.65,25.35,0.86
WL-y2-v2-r2,bf_sae1006_045,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2,2,2,period_4,4,36,296360.67,1512461.5,286834.44,1463827.61,632.07,3170.67,3.01,15.33,123.79,630.51,4910.4,25114.76,0.0,0.0,4910.4,25114.76,2866.86,14650.41,990.01,5051.75,1,5,5,3543.16,17907.28,3485.95,17617.19,57.21,290.09,290320.39,1481444.8,5,1622.08,8222.42,True,1622.08,8222.42,7961.27,40701.1,7961.27,40701.1,96.79,0.55,2.67,98.39,1.61,1.2
WL-y2-v2-r2,bf_sae1006_045,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2,2,2,period_5,5,61,488915.5,2495117.9,471038.57,2404263.5,3783.1,18875.69,9.21,46.12,208.34,1061.01,9066.92,46290.99,0.0,0.0,9066.92,46290.99,4809.3,24580.26,0.0,0.0,0,5,5,1622.08,8222.42,1411.14,7146.9,210.94,1075.53,472449.71,2411410.4,8,3783.11,18875.74,True,3783.1,18875.69,14304.71,73053.91,14304.71,73053.91,96.34,0.77,2.88,87.0,13.0,0.3
WL-y2-v2-r2,bf_sae1006_050,weighted_loss,retail_y_2__retail_v_2__rolled_leftover_2,2,2,2,period_1,1,4,34397.98,177663.5,27000.01,139453.43,9.5,49.07,0.0,0.0,16.84,86.98,3069.0,15851.2,3069.0,15851.2,0.0,0.0,252.9,1306.21,4049.74,20916.66,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,27000.01,139453.43,6,7128.24,36816.93,True,7128.24,36816.93,269.74,1393.19,269.74,1393.19,78.49,20.72,0.78,0.0,0.0,0.0
