
Gurobi 13.0.2 (linux64, Python) logging started Sat Aug 22 12:22:36 2026

Set parameter LogToConsole to value 0
Set parameter Username
Set parameter LicenseID to value 2748191
Set parameter TimeLimit to value 120
Set parameter LogFile to value "output/bf_qcv_045/weighted_loss/retail_y_2__retail_v_2__retail_v_2__rolled_leftover_2/period_2/gurobi.log"
Academic license - for non-commercial use only - expires 2026-12-01
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Debian GNU/Linux 13 (trixie)")

CPU model: 13th Gen Intel(R) Core(TM) i7-13700HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 24 logical processors, using up to 24 threads

Non-default parameters:
TimeLimit  120
LogToConsole  0

Optimize a model with 62981 rows, 50385 columns and 167574 nonzeros (Min)
Model fingerprint: 0x84fe2fe2
Model has 20430 linear objective coefficients and an objective constant of 2557.6430168
Variable types: 40614 continuous, 9771 integer (9771 binary)
Coefficient statistics:
  Matrix range     [7e-03, 1e+04]
  Objective range  [1e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-01, 8e+04]

Presolve removed 45192 rows and 36152 columns
Presolve time: 0.32s
Presolved: 17789 rows, 14233 columns, 75130 nonzeros
Variable types: 9404 continuous, 4829 integer (4829 binary)
Found heuristic solution: objective 1.817996e+07
Found heuristic solution: objective 4988801.1584

Root relaxation: objective 1.567481e+06, 11914 iterations, 0.89 seconds (0.96 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1588112.65    0  223 1661441.50 1588112.65  4.41%     -   15s
     0     0 1588113.37    0  225 1661441.50 1588113.37  4.41%     -   15s
     0     0 1588330.12    0  218 1661441.50 1588330.12  4.40%     -   15s
     0     0 1588346.56    0  205 1661441.50 1588346.56  4.40%     -   15s
     0     0 1588348.62    0  208 1661441.50 1588348.62  4.40%     -   15s
     0     0 1588482.54    0  216 1661441.50 1588482.54  4.39%     -   15s
     0     0 1588522.76    0  216 1661441.50 1588522.76  4.39%     -   15s
     0     0 1588522.76    0  211 1661441.50 1588522.76  4.39%     -   15s
     0     0 1588709.13    0  210 1661441.50 1588709.13  4.38%     -   15s
     0     0 1588794.52    0  211 1661441.50 1588794.52  4.37%     -   16s
     0     0 1588801.48    0  207 1661441.50 1588801.48  4.37%     -   16s
     0     0 1588853.87    0  203 1661441.50 1588853.87  4.37%     -   16s
     0     0 1588940.06    0  219 1661441.50 1588940.06  4.36%     -   16s
     0     0 1588964.35    0  212 1661441.50 1588964.35  4.36%     -   16s
     0     0 1588970.10    0  210 1661441.50 1588970.10  4.36%     -   16s
     0     0 1589129.06    0  205 1661441.50 1589129.06  4.35%     -   16s
     0     0 1589141.81    0  205 1661441.50 1589141.81  4.35%     -   17s
     0     0 1589147.26    0  212 1661441.50 1589147.26  4.35%     -   17s
     0     0 1589290.92    0  229 1661441.50 1589290.92  4.34%     -   17s
     0     0 1589353.98    0  219 1661441.50 1589353.98  4.34%     -   17s
     0     0 1589358.46    0  221 1661441.50 1589358.46  4.34%     -   17s
     0     0 1589557.17    0  225 1661441.50 1589557.17  4.33%     -   17s
     0     0 1589664.50    0  219 1661441.50 1589664.50  4.32%     -   17s
     0     0 1589726.79    0  217 1661441.50 1589726.79  4.32%     -   17s
     0     0 1589741.61    0  229 1661441.50 1589741.61  4.32%     -   17s
     0     0 1589741.62    0  232 1661441.50 1589741.62  4.32%     -   17s
     0     0 1590140.31    0  218 1661441.50 1590140.31  4.29%     -   17s
     0     0 1590265.15    0  230 1661441.50 1590265.15  4.28%     -   17s
     0     0 1590319.53    0  247 1661441.50 1590319.53  4.28%     -   18s
     0     0 1590340.45    0  250 1661441.50 1590340.45  4.28%     -   18s
     0     0 1590345.91    0  249 1661441.50 1590345.91  4.28%     -   18s
     0     0 1590671.29    0  228 1661441.50 1590671.29  4.26%     -   18s
     0     0 1590734.01    0  221 1661441.50 1590734.01  4.26%     -   18s
     0     0 1590751.44    0  229 1661441.50 1590751.44  4.25%     -   18s
     0     0 1590754.31    0  232 1661441.50 1590754.31  4.25%     -   18s
     0     0 1591077.00    0  235 1661441.50 1591077.00  4.24%     -   18s
     0     0 1591231.92    0  223 1661441.50 1591231.92  4.23%     -   18s
     0     0 1591309.38    0  236 1661441.50 1591309.38  4.22%     -   18s
     0     0 1591317.75    0  236 1661441.50 1591317.75  4.22%     -   18s
     0     0 1591634.47    0  226 1661441.50 1591634.47  4.20%     -   18s
     0     0 1591693.30    0  233 1661441.50 1591693.30  4.20%     -   18s
     0     0 1591710.20    0  240 1661441.50 1591710.20  4.20%     -   19s
     0     0 1591710.38    0  243 1661441.50 1591710.38  4.20%     -   19s
     0     0 1591901.85    0  226 1661441.50 1591901.85  4.19%     -   19s
     0     0 1591966.65    0  258 1661441.50 1591966.65  4.18%     -   19s
     0     0 1592017.92    0  245 1661441.50 1592017.92  4.18%     -   19s
     0     0 1592023.37    0  246 1661441.50 1592023.37  4.18%     -   19s
     0     0 1592248.59    0  219 1661441.50 1592248.59  4.16%     -   19s
     0     0 1592345.91    0  233 1661441.50 1592345.91  4.16%     -   19s
     0     0 1592383.02    0  231 1661441.50 1592383.02  4.16%     -   19s
     0     0 1592403.06    0  239 1661441.50 1592403.06  4.16%     -   19s
     0     0 1592420.18    0  236 1661441.50 1592420.18  4.15%     -   19s
     0     0 1592424.30    0  233 1661441.50 1592424.30  4.15%     -   19s
     0     0 1592618.08    0  203 1661441.50 1592618.08  4.14%     -   19s
     0     0 1592861.60    0  207 1661441.50 1592861.60  4.13%     -   20s
     0     0 1592994.44    0  216 1661441.50 1592994.44  4.12%     -   20s
     0     0 1593049.80    0  218 1661441.50 1593049.80  4.12%     -   20s
     0     0 1593053.53    0  219 1661441.50 1593053.53  4.12%     -   20s
     0     0 1593417.04    0  223 1661441.50 1593417.04  4.09%     -   20s
     0     0 1593591.03    0  228 1661441.50 1593591.03  4.08%     -   20s
     0     0 1593656.53    0  227 1661441.50 1593656.53  4.08%     -   20s
     0     0 1593676.12    0  239 1661441.50 1593676.12  4.08%     -   20s
     0     0 1593682.94    0  227 1661441.50 1593682.94  4.08%     -   20s
     0     0 1594011.24    0  222 1661441.50 1594011.24  4.06%     -   20s
